cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
171855;1718550;Riachinho;TO;2021;4723;Original;66;40;60.60606060606061;2021
171865;1718659;Rio da Conceição;TO;2021;2211;Original;31;12;38.70967741935484;2021
171870;1718709;Rio dos Bois;TO;2021;2879;Original;40;21;52.5;2021
171875;1718758;Rio Sono;TO;2021;6498;Original;67;34;50.74626865671642;2021
171880;1718808;Sampaio;TO;2021;4876;Original;88;35;39.77272727272727;2021
171884;1718840;Sandolândia;TO;2021;3371;Original;44;34;77.27272727272727;2021
171886;1718865;Santa Fé do Araguaia;TO;2021;7678;Original;114;59;51.75438596491229;2021
171888;1718881;Santa Maria do Tocantins;TO;2021;3537;Original;39;27;69.23076923076923;2021
171889;1718899;Santa Rita do Tocantins;TO;2021;2407;Original;30;17;56.666666666666664;2021
171890;1718907;Santa Rosa do Tocantins;TO;2021;4864;Original;89;43;48.31460674157304;2021
171900;1719004;Santa Tereza do Tocantins;TO;2021;2928;Original;53;26;49.056603773584904;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2021;2530;Original;28;18;64.28571428571429;2021
172010;1720101;São Bento do Tocantins;TO;2021;5457;Original;79;35;44.303797468354425;2021
172015;1720150;São Félix do Tocantins;TO;2021;1610;Original;21;10;47.61904761904761;2021
172020;1720200;São Miguel do Tocantins;TO;2021;12445;Original;155;70;45.16129032258064;2021
172025;1720259;São Salvador do Tocantins;TO;2021;3106;Original;26;15;57.692307692307686;2021
172030;1720309;São Sebastião do Tocantins;TO;2021;4898;Original;56;22;39.285714285714285;2021
172049;1720499;São Valério;TO;2021;3848;Original;40;23;57.49999999999999;2021
172065;1720655;Silvanópolis;TO;2021;5452;Original;63;32;50.79365079365079;2021
172080;1720804;Sítio Novo do Tocantins;TO;2021;8965;Original;135;64;47.40740740740741;2021
172085;1720853;Sucupira;TO;2021;2007;Original;19;13;68.42105263157895;2021
172090;1720903;Taguatinga;TO;2021;16966;Original;173;78;45.08670520231214;2021
172093;1720937;Taipas do Tocantins;TO;2021;2183;Original;33;16;48.484848484848484;2021
172097;1720978;Talismã;TO;2021;2831;Original;33;22;66.66666666666666;2021
172100;1721000;Palmas;TO;2021;313349;Original;4941;2694;54.52337583485124;2021
172110;1721109;Tocantínia;TO;2021;7688;Original;189;83;43.91534391534391;2021
172120;1721208;Tocantinópolis;TO;2021;22820;Original;445;194;43.59550561797752;2021
172125;1721257;Tupirama;TO;2021;1952;Original;34;22;64.70588235294117;2021
172130;1721307;Tupiratins;TO;2021;2785;Original;33;20;60.60606060606061;2021
172208;1722081;Wanderlândia;TO;2021;11783;Original;145;80;55.172413793103445;2021
172210;1722107;Xambioá;TO;2021;11500;Original;174;112;64.36781609195403;2021
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);34;10;29.411764705882355;2022
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);77;41;53.246753246753244;2022
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);57;42;73.68421052631578;2022
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);98;42;42.857142857142854;2022
170070;1700707;Alvorada;TO;2022;8439;Estimativa (Spline);120;89;74.16666666666667;2022
170100;1701002;Ananás;TO;2022;9508;Estimativa (Spline);135;73;54.074074074074076;2022
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);41;22;53.65853658536586;2022
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);78;39;50.0;2022
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);69;42;60.86956521739131;2022
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);71;35;49.29577464788733;2022
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);104;71;68.26923076923077;2022
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);2961;1928;65.11313745356298;2022
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);45;22;48.888888888888886;2022
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);473;193;40.803382663847785;2022
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);82;40;48.78048780487805;2022
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);105;57;54.285714285714285;2022
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);293;149;50.85324232081911;2022
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);24;12;50.0;2022
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);164;75;45.73170731707317;2022
