cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);25;3;12.0;7.409236848604594;2022
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);40;1;2.5;1.7503938386136881;2022
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);51;4;7.8431372549019605;5.564056196967589;2022
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);13;0;0.0;0.0;2022
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);35;1;2.857142857142857;1.590077913817777;2022
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);120;0;0.0;0.0;2022
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);44;0;0.0;0.0;2022
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);35;0;0.0;0.0;2022
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);38;2;5.263157894736842;4.297378599054577;2022
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);64;0;0.0;0.0;2022
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);31;1;3.225806451612903;2.636435539151068;2022
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);32;3;9.375;5.749329244921426;2022
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);46;2;4.3478260869565215;2.2696323195642307;2022
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);134;3;2.2388059701492535;1.6275158682797157;2022
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);16;0;0.0;0.0;2022
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);34;0;0.0;0.0;2022
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);80;8;10.0;6.062902614626753;2022
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);150;6;4.0;2.262443438914027;2022
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);526;7;1.3307984790874523;0.7847093772770584;2022
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);9;0;0.0;0.0;2022
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);55;4;7.2727272727272725;5.3748992206396125;2022
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);37;3;8.108108108108109;5.237430167597766;2022
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);22;1;4.545454545454546;2.6191723415400734;2022
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);12;0;0.0;0.0;2022
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);25;0;0.0;0.0;2022
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);14;0;0.0;0.0;2022
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);72;3;4.166666666666666;2.0791461639753277;2022
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);23;2;8.695652173913043;4.49438202247191;2022
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);23;0;0.0;0.0;2022
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);8;0;0.0;0.0;2022
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);19;0;0.0;0.0;2022
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);18;0;0.0;0.0;2022
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);24;0;0.0;0.0;2022
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);13;1;7.6923076923076925;3.5511363636363638;2022
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);21;0;0.0;0.0;2022
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);149;6;4.026845637583892;3.4250485215207216;2022
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);100;0;0.0;0.0;2022
