cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_medicos;TAXA_MEDICOS;ANO;MES
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);1;0.482392667631452;2022;0
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);2;0.26874496103198064;2022;0
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);2;0.34916201117318435;2022;0
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);1;0.26191723415400736;2022;0
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);2;0.8295313148071339;2022;0
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);2;0.5151983513652757;2022;0
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);1;0.4591368227731864;2022;0
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);2;0.13860974426502184;2022;0
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);2;0.44943820224719105;2022;0
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);2;0.6150061500615006;2022;0
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);2;1.0116337885685383;2022;0
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);1;0.2733734281027884;2022;0
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);2;0.6251953735542357;2022;0
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);2;0.37453183520599254;2022;0
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);2;0.7102272727272727;2022;0
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);2;0.5780346820809249;2022;0
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);2;0.11416828405069072;2022;0
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);2;0.14756880395484392;2022;0
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);2;0.24857071836937608;2022;0
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);2;0.8547008547008547;2022;0
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);2;0.2976633427593392;2022;0
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);2;0.5497526113249038;2022;0
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);2;0.21652051531882646;2022;0
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);2;0.5249343832020997;2022;0
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);2;0.16719612104999163;2022;0
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);2;0.4655493482309125;2022;0
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);2;0.44873233116446043;2022;0
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);1;0.4370629370629371;2022;0
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);1;0.36496350364963503;2022;0
