cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_equipes_esf;TAXA_EQUIPES_ESF;MES
172015;1720150;São Félix do Tocantins;TO;2024;1875;Original;12;64.0;0
172020;1720200;São Miguel do Tocantins;TO;2024;13939;Original;71;50.93622211062487;0
172025;1720259;São Salvador do Tocantins;TO;2024;2385;Original;24;100.62893081761005;0
172030;1720309;São Sebastião do Tocantins;TO;2024;4189;Original;24;57.2929100023872;0
172049;1720499;São Valério;TO;2024;4547;Original;24;52.78205410160545;0
172065;1720655;Silvanópolis;TO;2024;5252;Original;36;68.54531607006854;0
172080;1720804;Sítio Novo do Tocantins;TO;2024;11334;Original;72;63.52567496029645;0
172085;1720853;Sucupira;TO;2024;1599;Original;12;75.046904315197;0
172090;1720903;Taguatinga;TO;2024;14247;Original;49;34.39320558714115;0
172093;1720937;Taipas do Tocantins;TO;2024;2086;Original;12;57.52636625119847;0
172097;1720978;Talismã;TO;2024;2509;Original;12;47.82781984854523;0
172100;1721000;Palmas;TO;2024;323625;Original;1032;31.888760139049825;0
172110;1721109;Tocantínia;TO;2024;7751;Original;36;46.445619920010316;0
172120;1721208;Tocantinópolis;TO;2024;23203;Original;120;51.71745032969874;0
172125;1721257;Tupirama;TO;2024;2003;Original;12;59.91013479780329;0
172130;1721307;Tupiratins;TO;2024;1897;Original;12;63.257775434897205;0
172208;1722081;Wanderlândia;TO;2024;10751;Original;60;55.808761975630176;0
172210;1722107;Xambioá;TO;2024;10683;Original;60;56.16399887672002;0
