cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;maes_adolescentes;PROP_MAE_ADOL;ANO
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;63;15;23.809523809523807;2021
171200;1712009;Lajeado;TO;2021;3199;Original;58;12;20.689655172413794;2021
171215;1712157;Lavandeira;TO;2021;1984;Original;18;8;44.44444444444444;2021
171240;1712405;Lizarda;TO;2021;3727;Original;53;15;28.30188679245283;2021
171245;1712454;Luzinópolis;TO;2021;3200;Original;45;5;11.11111111111111;2021
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;65;18;27.692307692307693;2021
171270;1712702;Mateiros;TO;2021;2773;Original;40;11;27.500000000000004;2021
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;36;6;16.666666666666664;2021
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;295;55;18.64406779661017;2021
171330;1713304;Miranorte;TO;2021;13551;Original;175;24;13.714285714285715;2021
171360;1713601;Monte do Carmo;TO;2021;8182;Original;86;19;22.093023255813954;2021
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;28;5;17.857142857142858;2021
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;72;13;18.055555555555554;2021
171395;1713957;Muricilândia;TO;2021;3623;Original;55;13;23.636363636363637;2021
