cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;obitos_infantis;nascidos_vivos;TMI;ANO
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);1;41;24.390243902439025;2022
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);0;78;0.0;2022
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);1;69;14.492753623188406;2022
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);2;71;28.169014084507044;2022
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);0;104;0.0;2022
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);28;2961;9.456264775413711;2022
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);3;45;66.66666666666667;2022
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);8;473;16.913319238900634;2022
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);0;82;0.0;2022
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);1;105;9.523809523809526;2022
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);2;293;6.825938566552901;2022
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);0;24;0.0;2022
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);1;164;6.097560975609756;2022
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);0;93;0.0;2022
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);2;50;40.0;2022
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);1;68;14.705882352941176;2022
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);1;61;16.393442622950822;2022
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);1;45;22.22222222222222;2022
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);1;85;11.76470588235294;2022
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);0;28;0.0;2022
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);0;53;0.0;2022
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);1;120;8.333333333333334;2022
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);0;26;0.0;2022
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);3;160;18.75;2022
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);0;59;0.0;2022
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);0;27;0.0;2022
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);0;54;0.0;2022
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);0;62;0.0;2022
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);1;15;66.66666666666667;2022
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);0;26;0.0;2022
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);0;43;0.0;2022
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);6;511;11.741682974559687;2022
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);0;57;0.0;2022
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);2;52;38.46153846153847;2022
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);1;65;15.384615384615385;2022
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);2;73;27.397260273972602;2022
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);0;16;0.0;2022
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);2;102;19.607843137254903;2022
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);7;291;24.054982817869416;2022
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);1;87;11.494252873563218;2022
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);2;82;24.390243902439025;2022
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);0;58;0.0;2022
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);3;118;25.423728813559325;2022
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);0;53;0.0;2022
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);0;58;0.0;2022
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);0;102;0.0;2022
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);3;278;10.79136690647482;2022
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);0;55;0.0;2022
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);0;49;0.0;2022
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);8;235;34.04255319148936;2022
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);6;330;18.18181818181818;2022
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);8;1244;6.430868167202572;2022
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);0;9;0.0;2022
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);2;119;16.80672268907563;2022
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);1;64;15.625;2022
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);0;49;0.0;2022
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);0;46;0.0;2022
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);1;34;29.41176470588235;2022
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);1;35;28.57142857142857;2022
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);5;260;19.230769230769234;2022
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);0;75;0.0;2022
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);1;43;23.25581395348837;2022
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);2;23;86.95652173913044;2022
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);1;44;22.727272727272727;2022
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);0;36;0.0;2022
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);1;77;12.987012987012989;2022
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);2;49;40.816326530612244;2022
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);1;35;28.57142857142857;2022
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);5;270;18.51851851851852;2022
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);5;190;26.31578947368421;2022
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);2;69;28.985507246376812;2022
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);0;20;0.0;2022
