cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
171850;1718501;Recursolândia;TO;2021;4389;Original;60;51;85.0;2021
171855;1718550;Riachinho;TO;2021;4723;Original;66;51;77.27272727272727;2021
171865;1718659;Rio da Conceição;TO;2021;2211;Original;31;18;58.06451612903226;2021
171870;1718709;Rio dos Bois;TO;2021;2879;Original;40;29;72.5;2021
171875;1718758;Rio Sono;TO;2021;6498;Original;67;49;73.13432835820896;2021
171880;1718808;Sampaio;TO;2021;4876;Original;88;71;80.68181818181817;2021
171884;1718840;Sandolândia;TO;2021;3371;Original;44;36;81.81818181818183;2021
171886;1718865;Santa Fé do Araguaia;TO;2021;7678;Original;114;98;85.96491228070175;2021
171888;1718881;Santa Maria do Tocantins;TO;2021;3537;Original;39;22;56.41025641025641;2021
171889;1718899;Santa Rita do Tocantins;TO;2021;2407;Original;30;25;83.33333333333334;2021
171890;1718907;Santa Rosa do Tocantins;TO;2021;4864;Original;89;61;68.53932584269663;2021
171900;1719004;Santa Tereza do Tocantins;TO;2021;2928;Original;53;40;75.47169811320755;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2021;2530;Original;28;25;89.28571428571429;2021
172010;1720101;São Bento do Tocantins;TO;2021;5457;Original;79;54;68.35443037974683;2021
172015;1720150;São Félix do Tocantins;TO;2021;1610;Original;21;12;57.14285714285714;2021
172020;1720200;São Miguel do Tocantins;TO;2021;12445;Original;155;94;60.64516129032258;2021
172025;1720259;São Salvador do Tocantins;TO;2021;3106;Original;26;19;73.07692307692307;2021
172030;1720309;São Sebastião do Tocantins;TO;2021;4898;Original;56;45;80.35714285714286;2021
172049;1720499;São Valério;TO;2021;3848;Original;40;31;77.5;2021
172065;1720655;Silvanópolis;TO;2021;5452;Original;63;41;65.07936507936508;2021
172080;1720804;Sítio Novo do Tocantins;TO;2021;8965;Original;135;110;81.48148148148148;2021
172085;1720853;Sucupira;TO;2021;2007;Original;19;18;94.73684210526315;2021
172090;1720903;Taguatinga;TO;2021;16966;Original;173;106;61.27167630057804;2021
172093;1720937;Taipas do Tocantins;TO;2021;2183;Original;33;25;75.75757575757575;2021
172097;1720978;Talismã;TO;2021;2831;Original;33;16;48.484848484848484;2021
172100;1721000;Palmas;TO;2021;313349;Original;4941;3735;75.591985428051;2021
172110;1721109;Tocantínia;TO;2021;7688;Original;189;92;48.67724867724868;2021
172120;1721208;Tocantinópolis;TO;2021;22820;Original;445;342;76.85393258426966;2021
172125;1721257;Tupirama;TO;2021;1952;Original;34;25;73.52941176470588;2021
172130;1721307;Tupiratins;TO;2021;2785;Original;33;22;66.66666666666666;2021
172208;1722081;Wanderlândia;TO;2021;11783;Original;145;100;68.96551724137932;2021
172210;1722107;Xambioá;TO;2021;11500;Original;174;106;60.91954022988506;2021
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);34;28;82.35294117647058;2022
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);77;62;80.51948051948052;2022
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);57;42;73.68421052631578;2022
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);98;66;67.3469387755102;2022
170070;1700707;Alvorada;TO;2022;8439;Estimativa (Spline);120;90;75.0;2022
170100;1701002;Ananás;TO;2022;9508;Estimativa (Spline);135;91;67.4074074074074;2022
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);41;36;87.8048780487805;2022
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);78;58;74.35897435897436;2022
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);69;55;79.71014492753623;2022
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);71;56;78.87323943661971;2022
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);104;74;71.15384615384616;2022
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);2961;2145;72.44174265450862;2022
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);45;31;68.88888888888889;2022
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);473;348;73.57293868921776;2022
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);82;74;90.2439024390244;2022
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);105;79;75.23809523809524;2022
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);293;229;78.15699658703072;2022
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);24;18;75.0;2022
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);164;117;71.34146341463415;2022
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);93;76;81.72043010752688;2022
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);50;34;68.0;2022
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);68;43;63.23529411764706;2022
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);61;30;49.18032786885246;2022
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);45;42;93.33333333333333;2022
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);85;69;81.17647058823529;2022
