cod_mun_ibge_6;ANO;municipio;UF;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;DOENCAS_CRONICAS;PROP_MAE_ADOL;TAXA_DETECCAO_HANSENIASE;TAXA_INTERNACAO_GERAL;TAXA_EQUIPES_ESF;cluster_num;perfil;cor
170310;2020;Barrolândia;TO;5651;0.0;44.06779661016949;0.3539196602371262;49.152542372881356;0.0;0.0;3.5391966023712618;28.8135593220339;53.087949035568926;44.947796850115026;28.313572818970094;2;Atenção Primária Efetiva;#1a9850
170320;2020;Bernardo Sayão;TO;4448;29.850746268656717;77.61194029850746;0.4496402877697842;59.70149253731343;0.0;0.0;11.241007194244604;19.402985074626866;22.48201438848921;49.460431654676256;35.97122302158274;0;Vulnerabilidade Social/Sanitária;#d73027
170330;2020;Bom Jesus do Tocantins;TO;5008;0.0;56.94444444444444;0.3993610223642172;59.72222222222222;0.0;0.0;17.971246006389777;30.555555555555557;19.968051118210862;36.74121405750799;31.948881789137378;2;Atenção Primária Efetiva;#1a9850
170360;2020;Brasilândia do Tocantins;TO;2211;0.0;51.42857142857142;0.4522840343735866;80.0;7.142857142857142;4.522840343735866;9.045680687471732;17.142857142857142;45.22840343735866;41.157847127996384;22.614201718679332;2;Atenção Primária Efetiva;#1a9850
170370;2020;Brejinho de Nazaré;TO;5519;0.0;71.9298245614035;0.1811922449719152;38.59649122807017;0.0;0.0;19.931146946910673;24.561403508771928;0.0;48.197137162529444;28.99075919550643;2;Atenção Primária Efetiva;#1a9850
170380;2020;Buriti do Tocantins;TO;11497;6.756756756756757;69.5945945945946;0.17395842393667912;35.13513513513514;0.0;0.0;10.437505436200746;17.56756756756757;17.395842393667913;25.658867530660174;27.83334782986866;2;Atenção Primária Efetiva;#1a9850
170382;2020;Cachoeirinha;TO;2284;0.0;61.53846153846154;0.43782837127845886;30.76923076923077;0.0;0.0;17.513134851138354;23.076923076923077;0.0;24.080560420315233;13.134851138353765;2;Atenção Primária Efetiva;#1a9850
170384;2020;Campos Lindos;TO;10312;12.987012987012989;62.98701298701299;0.0969743987587277;47.4025974025974;0.0;0.0;2.909231962761831;26.623376623376622;0.0;32.38944918541505;23.273855702094647;0;Vulnerabilidade Social/Sanitária;#d73027
170386;2020;Cariri do Tocantins;TO;4441;48.78048780487805;85.36585365853658;0.45034902049088044;70.73170731707317;0.0;0.0;18.013960819635216;17.073170731707318;0.0;38.95519027246116;36.02792163927043;0;Vulnerabilidade Social/Sanitária;#d73027
170388;2020;Carmolândia;TO;2603;23.25581395348837;72.09302325581395;0.384172109104879;53.48837209302325;0.0;0.0;7.68344218209758;27.906976744186046;38.4172109104879;48.405685747214754;30.73376872839032;0;Vulnerabilidade Social/Sanitária;#d73027
170389;2020;Carrasco Bonito;TO;4130;0.0;65.27777777777779;0.48426150121065376;47.22222222222222;8.0;4.842615012106537;16.949152542372882;26.38888888888889;0.0;32.445520581113804;38.7409200968523;2;Atenção Primária Efetiva;#1a9850
170390;2020;Caseara;TO;5442;0.0;55.952380952380956;0.18375597206909225;50.0;0.0;0.0;5.512679162072767;21.428571428571427;257.25836089672913;44.46894524072032;25.725836089672914;3;Vulnerabilidade Social/Sanitária;#d73027
170410;2020;Centenário;TO;2936;0.0;40.909090909090914;0.6811989100817438;54.54545454545454;0.0;0.0;10.217983651226158;31.818181818181817;102.17983651226157;35.08174386920981;23.841961852861036;2;Atenção Primária Efetiva;#1a9850
170460;2020;Chapada de Areia;TO;1410;0.0;76.47058823529412;1.4184397163120568;41.17647058823529;0.0;0.0;0.0;17.647058823529413;0.0;43.262411347517734;56.73758865248227;2;Atenção Primária Efetiva;#1a9850
170510;2020;Chapada da Natividade;TO;3331;0.0;77.41935483870968;0.30021014710297206;32.25806451612903;3.8461538461538463;3.0021014710297207;12.008405884118883;22.58064516129032;90.06304413089163;42.32963074151906;24.016811768237766;2;Atenção Primária Efetiva;#1a9850
170550;2020;Colinas do Tocantins;TO;35851;17.482517482517483;69.05594405594405;0.05578644947142339;61.18881118881119;0.36496350364963503;0.27893224735711697;12.273018883713146;17.832167832167833;22.314579788569354;52.57872862681655;25.103902262140526;0;Vulnerabilidade Social/Sanitária;#d73027
170555;2020;Combinado;TO;4861;16.666666666666668;58.333333333333336;0.20571898786257972;48.333333333333336;0.0;0.0;10.285949393128986;11.666666666666666;20.57189878625797;32.297881094425016;32.915038058012755;0;Vulnerabilidade Social/Sanitária;#d73027
170560;2020;Conceição do Tocantins;TO;4087;36.36363636363636;85.45454545454545;0.4893564962074871;40.0;7.6923076923076925;4.893564962074872;12.233912405187178;25.454545454545453;24.467824810374356;46.244188891607536;39.148519696598974;0;Vulnerabilidade Social/Sanitária;#d73027
170600;2020;Couto Magalhães;TO;5639;15.151515151515152;71.21212121212122;0.3546728143287817;62.121212121212125;0.0;0.0;3.546728143287817;25.757575757575758;212.803688597269;32.27522610391913;21.2803688597269;3;Vulnerabilidade Social/Sanitária;#d73027
170610;2020;Cristalândia;TO;7278;0.0;70.23809523809523;0.2748007694421544;50.0;5.88235294117647;4.122011541632316;24.7320692497939;27.380952380952383;54.96015388843089;61.83017312448475;32.97609233305853;1;Sobrecarga de Doenças Crônicas;#fc8d59
170625;2020;Crixás do Tocantins;TO;1735;0.0;85.71428571428571;1.1527377521613833;57.14285714285714;10.0;5.763688760806916;0.0;19.047619047619047;0.0;40.345821325648416;34.5821325648415;2;Atenção Primária Efetiva;#1a9850
170650;2020;Darcinópolis;TO;6174;0.0;51.02040816326531;0.16196954972465177;58.16326530612245;2.272727272727273;1.6196954972465176;8.098477486232587;26.53061224489796;0.0;48.91480401684483;24.295432458697764;2;Atenção Primária Efetiva;#1a9850
170700;2020;Dianópolis;TO;22424;15.974440894568689;65.17571884984025;0.08919015340706386;39.936102236421725;9.75609756097561;5.351409204423831;6.68926150552979;22.364217252396166;62.433107384944705;37.72743489118801;24.52729218694256;0;Vulnerabilidade Social/Sanitária;#d73027
170710;2020;Divinópolis do Tocantins;TO;6943;0.0;86.51685393258427;0.28805991646262424;50.56179775280899;0.0;0.0;15.843295405444332;32.58426966292135;28.805991646262424;53.867204378510735;30.246291228575544;2;Atenção Primária Efetiva;#1a9850
170720;2020;Dois Irmãos do Tocantins;TO;7185;15.873015873015872;65.07936507936508;0.2783576896311761;44.44444444444444;0.0;0.0;5.567153792623522;19.047619047619047;41.75365344467641;33.82045929018789;20.8768267223382;0;Vulnerabilidade Social/Sanitária;#d73027
170730;2020;Dueré;TO;4686;0.0;69.86301369863014;0.42680324370465217;58.9041095890411;9.090909090909092;6.402048655569782;2.1340162185232607;13.698630136986301;21.340162185232607;44.60093896713615;34.14425949637217;2;Atenção Primária Efetiva;#1a9850
170740;2020;Esperantina;TO;11139;20.689655172413794;52.41379310344828;0.17954933117874136;40.689655172413794;0.0;0.0;2.6932399676811203;24.137931034482758;0.0;20.558398419965886;28.72789298859862;0;Vulnerabilidade Social/Sanitária;#d73027
170755;2020;Fátima;TO;3830;0.0;56.52173913043478;0.5221932114882506;45.65217391304348;4.166666666666666;2.610966057441253;2.610966057441253;21.73913043478261;0.0;61.8798955613577;41.77545691906005;2;Atenção Primária Efetiva;#1a9850
170765;2020;Figueirópolis;TO;5243;0.0;50.90909090909091;0.3814609956131986;63.63636363636363;10.526315789473683;7.629219912263971;1.9073049780659928;16.363636363636363;0.0;44.05874499332443;7.629219912263971;2;Atenção Primária Efetiva;#1a9850
170770;2020;Filadélfia;TO;8874;20.0;59.0;0.225377507324769;46.0;1.6666666666666667;1.1268875366238449;3.3806626098715347;22.0;11.268875366238449;30.200585981519044;15.776425512733828;0;Vulnerabilidade Social/Sanitária;#d73027
