cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
170560;1705607;Conceição do Tocantins;TO;3887;2;52;38.46153846153847;82.6923076923077;0.5145356315924878;48.07692307692308;12.0;7.718034473887317
170600;1706001;Couto Magalhães;TO;5331;1;65;15.384615384615385;70.76923076923077;0.37516413430876006;58.46153846153847;2.5;9.379103357719002
170610;1706100;Cristalândia;TO;6371;2;73;27.397260273972602;82.1917808219178;0.31392246115209543;43.83561643835616;7.8431372549019605;6.278449223041909
170625;1706258;Crixás do Tocantins;TO;1470;0;16;0.0;81.25;0.6802721088435374;62.5;0.0;13.605442176870747
170650;1706506;Darcinópolis;TO;5827;2;102;19.607843137254903;66.66666666666666;0.1716148961729878;50.98039215686274;2.857142857142857;25.742234425948173
170700;1707009;Dianópolis;TO;17739;7;291;24.054982817869416;69.41580756013745;0.1127459270533852;53.264604810996566;0.0;11.838322340605444
170710;1707108;Divinópolis do Tocantins;TO;7024;1;87;11.494252873563218;86.20689655172413;0.2847380410022779;41.37931034482759;0.0;37.01594533029613
170720;1707207;Dois Irmãos do Tocantins;TO;6327;2;82;24.390243902439025;78.04878048780488;0.316105579263474;52.4390243902439;0.0;0.0
170730;1707306;Dueré;TO;4248;0;58;0.0;79.3103448275862;0.4708097928436911;62.06896551724138;5.263157894736842;4.708097928436911
170740;1707405;Esperantina;TO;7530;3;118;25.423728813559325;68.64406779661016;0.2656042496679947;32.20338983050847;0.0;9.296148738379815
170755;1707553;Fátima;TO;3467;0;53;0.0;67.9245283018868;0.28843380444188055;41.509433962264154;3.225806451612903;20.19036631093164
170765;1707652;Figueirópolis;TO;5211;0;58;0.0;39.6551724137931;0.38380349261178276;63.793103448275865;9.375;0.0
170770;1707702;Filadélfia;TO;7712;0;102;0.0;59.80392156862745;0.25933609958506226;59.80392156862745;4.3478260869565215;10.37344398340249
170820;1708205;Formoso do Araguaia;TO;18881;3;278;10.79136690647482;65.46762589928058;0.1059265928711403;62.589928057553955;2.2388059701492535;38.13357343361051
170825;1708254;Tabocão;TO;3455;0;55;0.0;74.54545454545455;0.5788712011577424;81.81818181818183;0.0;2.894356005788712
170830;1708304;Goianorte;TO;4738;0;49;0.0;67.3469387755102;0.4221190375685943;61.224489795918366;0.0;14.774166314900802
170900;1709005;Goiatins;TO;12433;8;235;34.04255319148936;59.57446808510638;0.16086222150727902;42.5531914893617;10.0;5.630177752754766
170930;1709302;Guaraí;TO;24775;6;330;18.18181818181818;70.3030303030303;0.08072653884964683;71.51515151515152;4.0;10.898082744702322
170950;1709500;Gurupi;TO;85125;8;1244;6.430868167202572;75.96463022508038;0.023494860499265784;72.90996784565917;1.3307984790874523;8.928046989720999
170980;1709807;Ipueiras;TO;1590;0;9;0.0;55.55555555555556;0.6289308176100629;88.88888888888889;0.0;0.0
171050;1710508;Itacajá;TO;6819;2;119;16.80672268907563;62.18487394957983;0.2932981375568265;37.81512605042017;7.2727272727272725;14.664906877841325
171070;1710706;Itaguatins;TO;5172;1;64;15.625;59.375;0.3866976024748647;45.3125;8.108108108108109;7.733952049497294
171090;1710904;Itapiratins;TO;3577;0;49;0.0;83.6734693877551;0.2795638803466592;73.46938775510205;4.545454545454546;2.795638803466592
171110;1711100;Itaporã do Tocantins;TO;2404;0;46;0.0;82.6086956521739;0.415973377703827;76.08695652173914;0.0;8.319467554076539
171150;1711506;Jaú do Tocantins;TO;3334;1;34;29.41176470588235;79.41176470588235;0.5998800239952009;58.82352941176471;0.0;0.0
171180;1711803;Juarina;TO;2243;1;35;28.57142857142857;91.42857142857143;0.44583147570218457;68.57142857142857;0.0;0.0
171190;1711902;Lagoa da Confusão;TO;15288;5;260;19.230769230769234;71.53846153846153;0.13082155939298798;50.0;4.166666666666666;7.195185766614339
171195;1711951;Lagoa do Tocantins;TO;3516;0;75;0.0;70.66666666666667;0.5688282138794084;49.333333333333336;8.695652173913043;5.688282138794084
